UpdateTime,UpdateInterval,AuthorityCode,ETagPairID,StartETagStatus,EndETagStatus,VehicleType,TravelTime,StandardDeviation,SpaceMeanSpeed,VehicleCount,StartTime,EndTime,DataCollectTime,vd_avg_Speed,vd_avg_Occupancy,vd_avg_Volume,vd_avg_VSpeed,vd_LaneID,vd_week_day,rain,temp
2025-05-22T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,31,93,0,97,24,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,118,2,3.5,117,0,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,31,93,0,97,24,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,111,1.5,2.5,110,1,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,31,93,0,97,24,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,88,3,7,87,2,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,32,97,0,93,5,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,118,2,3.5,117,0,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,32,97,0,93,5,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,111,1.5,2.5,110,1,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0200N-01H0174N,0,0,32,97,0,93,5,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,88,3,7,87,2,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0208N-01H0200N,0,0,31,28,0,100,35,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,105,6,5,104,0,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0208N-01H0200N,0,0,31,28,0,100,35,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,94,4,6,93,1,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0208N-01H0200N,0,0,32,30,0,93,7,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,105,6,5,104,0,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0208N-01H0200N,0,0,32,30,0,93,7,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,94,4,6,93,1,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0208N-01H0200N,0,0,41,31,0,90,1,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,105,6,1,107,0,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,31,224,0,99,40,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,110.714285714286,2.28571428571429,4.14285714285714,108.142857142857,0,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,31,224,0,99,40,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,93.625,3.875,5.5,92.75,1,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,31,224,0,99,40,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,98,4,7.33333333333333,97,2,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,32,219,0,100,7,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,110.714285714286,2.28571428571429,4.14285714285714,108.142857142857,0,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,32,219,0,100,7,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,93.625,3.875,5.5,92.75,1,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,32,219,0,100,7,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,98,4,7.33333333333333,97,2,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,41,231,0,97,2,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,121,1,1,132,0,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0271N-01H0208N,0,0,41,231,0,97,2,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,95,3,1,96,1,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0206S-01H0305S,0,0,31,351,0,100,35,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,108.909090909091,1.63636363636364,2.63636363636364,107.909090909091,0,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0206S-01H0305S,0,0,31,351,0,100,35,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,92.8181818181818,11.6363636363636,4.18181818181818,91.8181818181818,1,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0206S-01H0305S,0,0,31,351,0,100,35,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,98.25,3.75,5,97.25,2,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0206S-01H0305S,0,0,32,354,0,97,9,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,108.909090909091,1.63636363636364,2.63636363636364,107.909090909091,0,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0206S-01H0305S,0,0,32,354,0,97,9,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,92.8181818181818,11.6363636363636,4.18181818181818,91.8181818181818,1,5,0,24
2025-05-22T16:20:00Z,300,NFB,01H0206S-01H0305S,0,0,32,354,0,97,9,2025-05-22T16:00:00Z,2025-05-22T16:05:00Z,2025-05-22T16:05:00Z,98.25,3.75,5,97.25,2,5,0,24
